Target Distance:50, Step size:1
205: (x,y)=(-2.95716,-3.6952)
206: (x,y)=(-3.95473,-3.76496)
207: (x,y)=(-4.92065,-4.02378)
208: (x,y)=(-3.92309,-3.95402)
209: (x,y)=(-3.58107,-4.89371)
210: (x,y)=(-3.6334,-5.89234)
211: (x,y)=(-4.11821,-6.76696)
212: (x,y)=(-4.13567,-5.76712)
213: (x,y)=(-3.42856,-5.06001)
214: (x,y)=(-2.56253,-5.56001)
215: (x,y)=(-3.31724,-6.21607)
216: (x,y)=(-2.31785,-6.25097)
217: (x,y)=(-1.83304,-5.37635)
218: (x,y)=(-1.34823,-4.50173)
219: (x,y)=(-2.12538,-5.13105)
220: (x,y)=(-2.07304,-4.13242)
221: (x,y)=(-2.54252,-3.24947)
222: (x,y)=(-1.84786,-2.53013)
223: (x,y)=(-2.73886,-2.98412)
224: (x,y)=(-2.92967,-2.0025)
225: (x,y)=(-1.98998,-1.66048)
226: (x,y)=(-2.92356,-2.01884)
227: (x,y)=(-3.92219,-2.07118)
228: (x,y)=(-4.74134,-2.64476)
229: (x,y)=(-4.12568,-3.43277)
230: (x,y)=(-3.17462,-3.74178)
231: (x,y)=(-3.6441,-2.85884)
232: (x,y)=(-3.05631,-2.04982)
233: (x,y)=(-4.04886,-2.17169)
234: (x,y)=(-3.05631,-2.29356)
235: (x,y)=(-3.98989,-1.93519)
236: (x,y)=(-4.94095,-1.62617)
237: (x,y)=(-5.09738,-2.61386)
238: (x,y)=(-5.09738,-1.61386)
239: (x,y)=(-5.972,-1.12905)
240: (x,y)=(-6.95015,-0.92114)
241: (x,y)=(-6.1841,-1.56393)
242: (x,y)=(-5.2278,-1.27156)
243: (x,y)=(-5.36697,-2.26182)
244: (x,y)=(-6.20564,-1.71718)
245: (x,y)=(-6.34482,-0.726917)
246: (x,y)=(-7.19286,-0.196997)
247: (x,y)=(-6.29407,-0.635368)
248: (x,y)=(-6.38123,-1.63156)
249: (x,y)=(-5.95861,-0.725255)
250: (x,y)=(-6.38123,-1.63156)
251: (x,y)=(-7.33753,-1.92393)
252: (x,y)=(-7.1811,-2.91162)
253: (x,y)=(-7.52312,-3.85132)
254: (x,y)=(-8.30026,-3.222)
255: (x,y)=(-8.26536,-4.22139)
256: (x,y)=(-8.75017,-3.34677)
257: (x,y)=(-7.87555,-3.83158)
258: (x,y)=(-7.59992,-4.79284)
259: (x,y)=(-6.64361,-4.50047)
260: (x,y)=(-7.64118,-4.57022)
261: (x,y)=(-6.76656,-4.08541)
262: (x,y)=(-5.77887,-4.24185)
263: (x,y)=(-6.53358,-3.58579)
264: (x,y)=(-7.01839,-2.71117)
265: (x,y)=(-6.40272,-1.92316)
266: (x,y)=(-5.84353,-2.7522)
267: (x,y)=(-6.43132,-3.56121)
268: (x,y)=(-5.8295,-2.76258)
269: (x,y)=(-5.63869,-3.7442)
270: (x,y)=(-5.58636,-4.74283)
271: (x,y)=(-4.72919,-5.25787)
272: (x,y)=(-5.71082,-5.06706)
273: (x,y)=(-5.06803,-4.30102)
274: (x,y)=(-5.15519,-3.30482)
275: (x,y)=(-5.29436,-4.29509)
276: (x,y)=(-6.29192,-4.36485)
277: (x,y)=(-5.33066,-4.64049)
278: (x,y)=(-4.78602,-5.47916)
279: (x,y)=(-5.66897,-5.00968)
280: (x,y)=(-6.13844,-5.89263)
281: (x,y)=(-5.5938,-5.05396)
282: (x,y)=(-6.01642,-5.96027)
283: (x,y)=(-5.29708,-6.65493)
284: (x,y)=(-6.09572,-6.05311)
285: (x,y)=(-5.43966,-6.80782)
286: (x,y)=(-5.56153,-7.80037)
287: (x,y)=(-4.84219,-8.49503)
288: (x,y)=(-4.78985,-9.49366)
289: (x,y)=(-4.32038,-10.3766)
290: (x,y)=(-3.71856,-9.57797)
291: (x,y)=(-3.85774,-8.5877)
292: (x,y)=(-2.91222,-8.26213)
293: (x,y)=(-2.61985,-7.30583)
294: (x,y)=(-1.7369,-7.7753)
295: (x,y)=(-1.63237,-6.78078)
296: (x,y)=(-1.03056,-7.57941)
297: (x,y)=(-1.30619,-8.54067)
298: (x,y)=(-1.06427,-7.57038)
299: (x,y)=(-1.78361,-8.26504)
300: (x,y)=(-2.45274,-9.00818)
301: (x,y)=(-1.45655,-9.09534)
302: (x,y)=(-1.40421,-8.09671)
303: (x,y)=(-0.447906,-7.80434)
304: (x,y)=(-0.838637,-8.72484)
305: (x,y)=(-1.44045,-7.92621)
306: (x,y)=(-1.3533,-8.9224)
307: (x,y)=(-2.09644,-8.25327)
308: (x,y)=(-2.50318,-7.33972)
309: (x,y)=(-2.52063,-8.33957)
310: (x,y)=(-3.25198,-7.65757)
311: (x,y)=(-4.09065,-7.11293)
312: (x,y)=(-3.62118,-7.99588)
313: (x,y)=(-3.46475,-8.98357)
314: (x,y)=(-2.93483,-9.83162)
315: (x,y)=(-3.67797,-9.16249)
316: (x,y)=(-4.42112,-9.83162)
317: (x,y)=(-3.96713,-8.94061)
318: (x,y)=(-3.01607,-8.6316)
319: (x,y)=(-2.50103,-7.77443)
320: (x,y)=(-2.69184,-8.75606)
321: (x,y)=(-2.00984,-8.0247)
322: (x,y)=(-2.62551,-7.23669)
323: (x,y)=(-2.40055,-8.21106)
324: (x,y)=(-2.34822,-7.21243)
325: (x,y)=(-1.34883,-7.17753)
326: (x,y)=(-0.350198,-7.22987)
327: (x,y)=(-0.15939,-8.21149)
328: (x,y)=(-0.401311,-9.18179)
329: (x,y)=(0.375835,-9.81111)
330: (x,y)=(-0.462836,-10.3557)
331: (x,y)=(-1.35384,-10.8097)
332: (x,y)=(-0.646736,-10.1026)
333: (x,y)=(-1.54553,-9.66426)
334: (x,y)=(-1.13879,-8.75072)
335: (x,y)=(-0.829776,-7.79966)
336: (x,y)=(-0.934305,-8.79418)
337: (x,y)=(-1.86789,-8.43581)
338: (x,y)=(-2.61103,-9.10495)
339: (x,y)=(-2.20429,-8.1914)
340: (x,y)=(-1.21949,-8.01775)
341: (x,y)=(-1.27182,-9.01638)
342: (x,y)=(-2.22813,-8.72401)
343: (x,y)=(-3.00527,-8.09469)
344: (x,y)=(-2.55128,-7.20368)
345: (x,y)=(-1.9635,-8.0127)
346: (x,y)=(-2.90319,-8.35472)
347: (x,y)=(-3.66923,-8.99751)
348: (x,y)=(-4.22843,-8.16847)
349: (x,y)=(-5.22706,-8.11613)
350: (x,y)=(-5.82887,-7.3175)
351: (x,y)=(-5.32887,-6.45147)
352: (x,y)=(-5.79834,-5.56853)
353: (x,y)=(-6.09071,-4.61222)
354: (x,y)=(-5.35936,-5.29422)
355: (x,y)=(-4.37773,-5.10341)
356: (x,y)=(-5.368,-4.96424)
357: (x,y)=(-4.46921,-5.40261)
358: (x,y)=(-4.53896,-6.40017)
359: (x,y)=(-4.84798,-5.44912)
360: (x,y)=(-4.17885,-6.19226)
361: (x,y)=(-5.00789,-6.75145)
362: (x,y)=(-5.00789,-5.75145)
363: (x,y)=(-5.98951,-5.94226)
364: (x,y)=(-6.26515,-4.981)
365: (x,y)=(-5.82678,-5.87979)
366: (x,y)=(-5.84423,-4.87995)
367: (x,y)=(-4.96961,-4.39514)
368: (x,y)=(-4.7617,-3.41699)
369: (x,y)=(-5.40449,-2.65094)
370: (x,y)=(-6.13584,-3.33294)
371: (x,y)=(-7.12839,-3.21107)
372: (x,y)=(-7.7302,-2.41244)
373: (x,y)=(-8.21501,-3.28706)
374: (x,y)=(-8.98106,-3.92985)
375: (x,y)=(-9.71241,-3.24785)
376: (x,y)=(-10.0214,-4.1989)
377: (x,y)=(-9.88226,-3.20864)
378: (x,y)=(-8.94868,-3.567)
379: (x,y)=(-7.97431,-3.34205)
380: (x,y)=(-7.068,-2.91943)
381: (x,y)=(-7.64157,-2.10028)
382: (x,y)=(-6.65677,-2.27393)
383: (x,y)=(-6.48312,-3.25874)
384: (x,y)=(-7.19023,-3.96585)
385: (x,y)=(-6.89785,-4.92215)
386: (x,y)=(-6.50712,-5.84265)
387: (x,y)=(-6.52457,-4.84281)
388: (x,y)=(-6.71538,-5.82443)
389: (x,y)=(-5.71554,-5.84189)
390: (x,y)=(-5.00843,-6.54899)
391: (x,y)=(-5.65122,-5.78295)
392: (x,y)=(-5.80765,-4.79526)
393: (x,y)=(-5.99846,-5.77689)
394: (x,y)=(-5.27912,-5.08223)
395: (x,y)=(-5.79416,-4.22506)
396: (x,y)=(-6.2009,-3.31152)
397: (x,y)=(-7.11444,-2.90478)
398: (x,y)=(-7.62948,-2.04761)
399: (x,y)=(-7.55972,-3.04518)
400: (x,y)=(-8.05972,-3.9112)
401: (x,y)=(-7.75071,-2.96015)
402: (x,y)=(-7.99263,-1.98985)
403: (x,y)=(-8.9829,-1.85068)
404: (x,y)=(-9.80205,-1.2771)
405: (x,y)=(-9.27213,-2.12515)
406: (x,y)=(-9.4113,-3.11542)
407: (x,y)=(-10.25,-3.66006)
408: (x,y)=(-10.4579,-2.68191)
409: (x,y)=(-9.61921,-3.22655)
410: (x,y)=(-9.34358,-4.18781)
411: (x,y)=(-8.36921,-4.41276)
412: (x,y)=(-9.11235,-5.08189)
413: (x,y)=(-8.8874,-6.05626)
414: (x,y)=(-9.68603,-5.45445)
415: (x,y)=(-9.36047,-4.50893)
416: (x,y)=(-9.79884,-5.40772)
417: (x,y)=(-10.1896,-4.48722)
418: (x,y)=(-9.34152,-3.9573)
419: (x,y)=(-10.1187,-4.58662)
420: (x,y)=(-10.411,-3.63031)
421: (x,y)=(-10.0364,-4.5575)
422: (x,y)=(-10.2614,-3.58313)
423: (x,y)=(-9.31033,-3.89214)
424: (x,y)=(-8.76569,-4.73081)
425: (x,y)=(-9.04132,-3.76955)
426: (x,y)=(-8.24269,-4.37137)
427: (x,y)=(-8.53506,-5.32767)
428: (x,y)=(-8.12832,-6.24122)
429: (x,y)=(-7.65885,-5.35827)
430: (x,y)=(-8.55765,-5.79664)
431: (x,y)=(-9.11684,-6.62568)
432: (x,y)=(-9.74616,-7.40282)
433: (x,y)=(-8.99145,-6.74677)
434: (x,y)=(-8.23674,-7.40282)
435: (x,y)=(-8.16698,-6.40526)
436: (x,y)=(-7.84142,-7.35078)
437: (x,y)=(-7.12208,-6.65612)
438: (x,y)=(-6.69946,-7.56243)
439: (x,y)=(-7.18427,-8.43705)
440: (x,y)=(-6.52821,-9.19176)
441: (x,y)=(-5.56228,-9.45058)
442: (x,y)=(-6.13586,-10.2697)
443: (x,y)=(-7.13038,-10.1652)
444: (x,y)=(-7.87353,-9.49607)
445: (x,y)=(-8.86121,-9.33964)
446: (x,y)=(-9.37625,-8.48247)
447: (x,y)=(-8.46271,-8.07573)
448: (x,y)=(-9.46027,-8.00597)
449: (x,y)=(-10.4262,-8.26479)
450: (x,y)=(-10.6341,-7.28665)
451: (x,y)=(-9.6493,-7.113)
452: (x,y)=(-8.84028,-6.52521)
453: (x,y)=(-9.80155,-6.80085)
454: (x,y)=(-9.34756,-5.90984)
455: (x,y)=(-9.80155,-5.01884)
456: (x,y)=(-10.7718,-4.77692)
457: (x,y)=(-11.6628,-4.32292)
458: (x,y)=(-10.6752,-4.47936)
459: (x,y)=(-10.2684,-3.56581)
460: (x,y)=(-9.6391,-4.34296)
461: (x,y)=(-10.6336,-4.23843)
462: (x,y)=(-10.8924,-3.27251)
463: (x,y)=(-11.8801,-3.42894)
464: (x,y)=(-12.7462,-3.92894)
465: (x,y)=(-13.6033,-3.4139)
466: (x,y)=(-14.0728,-2.53095)
467: (x,y)=(-14.8388,-3.17374)
468: (x,y)=(-15.4816,-3.93979)
469: (x,y)=(-14.5828,-3.50142)
470: (x,y)=(-14.1445,-2.60262)
471: (x,y)=(-14.9636,-3.1762)
472: (x,y)=(-15.1715,-2.19805)
473: (x,y)=(-16.1497,-2.40596)
474: (x,y)=(-15.8407,-3.35702)
475: (x,y)=(-16.7317,-3.81101)
476: (x,y)=(-16.2622,-2.92806)
477: (x,y)=(-16.4186,-3.91575)
478: (x,y)=(-16.4361,-4.9156)
479: (x,y)=(-16.4535,-3.91575)
480: (x,y)=(-15.4754,-3.70784)
481: (x,y)=(-15.6318,-2.72015)
482: (x,y)=(-15.7537,-3.7127)
483: (x,y)=(-16.485,-3.0307)
484: (x,y)=(-17.4186,-2.67233)
485: (x,y)=(-16.4188,-2.65488)
486: (x,y)=(-15.6201,-3.25669)
487: (x,y)=(-15.0902,-2.40864)
488: (x,y)=(-14.129,-2.68428)
489: (x,y)=(-14.5357,-1.77074)
490: (x,y)=(-15.5101,-1.54578)
491: (x,y)=(-15.0874,-0.639477)
492: (x,y)=(-14.1215,-0.380658)
493: (x,y)=(-15.0351,0.0260789)
494: (x,y)=(-14.0352,0.0435313)
495: (x,y)=(-14.9557,0.434262)
496: (x,y)=(-13.968,0.590697)
497: (x,y)=(-14.8161,1.12062)
498: (x,y)=(-15.1085,2.07692)
499: (x,y)=(-15.7905,2.80827)
500: (x,y)=(-16.788,2.87803)
501: (x,y)=(-16.8925,1.88351)
502: (x,y)=(-16.7361,2.8712)
503: (x,y)=(-17.4052,2.12805)
504: (x,y)=(-18.0744,2.8712)
505: (x,y)=(-17.355,2.17654)
506: (x,y)=(-16.8856,3.05949)
507: (x,y)=(-16.0195,3.55949)
508: (x,y)=(-16.4103,4.47999)
509: (x,y)=(-17.0396,5.25714)
510: (x,y)=(-16.7977,4.28684)
511: (x,y)=(-15.8414,4.57921)
512: (x,y)=(-15.9459,5.57374)
513: (x,y)=(-16.9022,5.86611)
514: (x,y)=(-17.7312,6.4253)
515: (x,y)=(-17.8184,7.42149)
516: (x,y)=(-16.9992,7.99507)
517: (x,y)=(-17.8653,7.49507)
518: (x,y)=(-16.9197,7.82064)
519: (x,y)=(-17.6745,8.4767)
520: (x,y)=(-16.9431,9.1587)
521: (x,y)=(-17.2521,10.1098)
522: (x,y)=(-17.165,11.1059)
523: (x,y)=(-16.2445,10.7152)
524: (x,y)=(-16.9136,11.4584)
525: (x,y)=(-17.2882,10.5312)
526: (x,y)=(-18.2698,10.3404)
527: (x,y)=(-17.7698,9.47434)
528: (x,y)=(-18.329,10.3034)
529: (x,y)=(-19.2278,9.86501)
530: (x,y)=(-19.0199,10.8432)
531: (x,y)=(-18.1211,11.2815)
532: (x,y)=(-18.6211,12.1476)
533: (x,y)=(-18.3623,11.1816)
534: (x,y)=(-18.5702,10.2035)
535: (x,y)=(-19.5212,10.5125)
536: (x,y)=(-18.6826,9.96786)
537: (x,y)=(-19.4597,10.5972)
538: (x,y)=(-20.4596,10.5797)
539: (x,y)=(-20.929,9.69678)
540: (x,y)=(-21.9216,9.57491)
541: (x,y)=(-21.2655,8.8202)
542: (x,y)=(-20.7655,7.95417)
543: (x,y)=(-19.8667,8.39255)
544: (x,y)=(-18.9921,8.87736)
545: (x,y)=(-18.0933,9.31573)
546: (x,y)=(-17.3273,9.95851)
547: (x,y)=(-16.9689,10.8921)
548: (x,y)=(-17.4689,11.7581)
549: (x,y)=(-17.5561,12.7543)
550: (x,y)=(-18.4896,13.1127)
551: (x,y)=(-19.1053,13.9007)
552: (x,y)=(-18.7797,12.9552)
553: (x,y)=(-18.7623,11.9553)
554: (x,y)=(-18.3397,11.049)
555: (x,y)=(-19.3322,10.9271)
556: (x,y)=(-19.9058,11.7463)
557: (x,y)=(-20.8983,11.6244)
558: (x,y)=(-20.4135,10.7498)
559: (x,y)=(-21.4097,10.6627)
560: (x,y)=(-20.4316,10.4547)
561: (x,y)=(-21.3879,10.7471)
562: (x,y)=(-20.7318,11.5018)
563: (x,y)=(-20.1025,12.279)
564: (x,y)=(-20.4115,11.3279)
565: (x,y)=(-21.3774,11.0691)
566: (x,y)=(-22.3046,10.6945)
567: (x,y)=(-21.3983,11.1171)
568: (x,y)=(-21.7567,10.1835)
569: (x,y)=(-22.747,10.3227)
570: (x,y)=(-22.505,11.293)
571: (x,y)=(-22.1467,10.3594)
572: (x,y)=(-21.2637,10.8289)
573: (x,y)=(-21.4887,11.8033)
574: (x,y)=(-22.4885,11.7858)
575: (x,y)=(-22.5409,12.7844)
576: (x,y)=(-23.3699,13.3436)
577: (x,y)=(-23.0609,14.2947)
578: (x,y)=(-23.3197,15.2606)
579: (x,y)=(-24.3142,15.1561)
580: (x,y)=(-23.6714,14.39)
581: (x,y)=(-24.3908,13.6954)
582: (x,y)=(-23.4636,14.07)
583: (x,y)=(-23.5333,13.0724)
584: (x,y)=(-23.8917,12.1388)
585: (x,y)=(-23.3618,12.9869)
586: (x,y)=(-24.3321,13.2288)
587: (x,y)=(-23.676,12.4741)
588: (x,y)=(-22.7101,12.2153)
589: (x,y)=(-22.7624,11.2167)
590: (x,y)=(-22.0431,11.9113)
591: (x,y)=(-22.8911,11.3814)
592: (x,y)=(-22.8562,12.3808)
593: (x,y)=(-23.2946,11.482)
594: (x,y)=(-22.361,11.1236)
595: (x,y)=(-21.8164,10.285)
596: (x,y)=(-22.815,10.2326)
597: (x,y)=(-22.2414,9.41346)
598: (x,y)=(-21.5343,8.70636)
599: (x,y)=(-21.3435,7.72473)
600: (x,y)=(-22.2946,8.03375)
601: (x,y)=(-22.6853,7.11324)
602: (x,y)=(-23.4625,7.74256)
603: (x,y)=(-22.7554,7.03545)
604: (x,y)=(-23.3,6.19678)
605: (x,y)=(-23.3,7.19678)
606: (x,y)=(-24.0986,6.59497)
607: (x,y)=(-23.224,6.11016)
608: (x,y)=(-22.3035,6.50089)
609: (x,y)=(-21.3254,6.7088)
610: (x,y)=(-20.8406,7.58342)
611: (x,y)=(-21.7152,8.06823)
612: (x,y)=(-20.8861,7.50904)
613: (x,y)=(-20.4954,6.58853)
614: (x,y)=(-20.339,7.57622)
615: (x,y)=(-21.3133,7.35127)
616: (x,y)=(-22.2269,6.94453)
617: (x,y)=(-21.5449,7.67589)
618: (x,y)=(-21.2692,8.63715)
619: (x,y)=(-21.3041,7.63776)
620: (x,y)=(-22.1028,7.03594)
621: (x,y)=(-21.7772,6.09043)
622: (x,y)=(-21.2772,5.2244)
623: (x,y)=(-22.2283,4.91538)
624: (x,y)=(-23.2064,4.70747)
625: (x,y)=(-22.2139,4.82934)
626: (x,y)=(-21.5846,5.60649)
627: (x,y)=(-21.6717,6.60268)
628: (x,y)=(-21.602,7.60025)
629: (x,y)=(-21.1636,8.49904)
630: (x,y)=(-20.182,8.68985)
631: (x,y)=(-20.4408,9.65577)
632: (x,y)=(-19.6747,9.01299)
633: (x,y)=(-20.1747,8.14696)
634: (x,y)=(-19.2759,7.70859)
635: (x,y)=(-18.31,7.96741)
636: (x,y)=(-19.2305,8.35814)
637: (x,y)=(-18.2311,8.32324)
638: (x,y)=(-17.6433,9.13226)
639: (x,y)=(-17.9689,8.18674)
640: (x,y)=(-17.2376,7.50474)
641: (x,y)=(-16.5684,6.7616)
642: (x,y)=(-17.4165,6.23168)
643: (x,y)=(-16.5418,5.74687)
644: (x,y)=(-15.6847,6.26191)
645: (x,y)=(-16.5137,5.70271)
646: (x,y)=(-17.0288,6.55988)
647: (x,y)=(-16.2197,7.14766)
648: (x,y)=(-15.3134,7.57028)
649: (x,y)=(-15.887,8.38944)
650: (x,y)=(-15.8173,7.39187)
651: (x,y)=(-15.6093,6.41372)
652: (x,y)=(-15.4875,7.40627)
653: (x,y)=(-15.3483,6.416)
654: (x,y)=(-16.1469,5.81419)
